 huidevent |         ot          |  mag  |   spassportcmd    |                                                                                                                                                                                                                                                 spassportentry                                                                                                                                                                                                                                                 
 C0004KTB  | 2011/06/29 23:16:39 | 4.925 | PubFlagsAddImpact | Injuries Shaking Exact 7 0 "http://www.huffingtonpost.com/2011/06/29/japan-earthquake-central_n_887535.html" 1309305961 ""
 C0005IDZ  | 2011/08/23 05:46:18 | 5.269 | PubFlagsAddImpact | Damaged Shaking Few 0 0 "" 1317972203 "(VII) Segundo, (VI) Cokedale and Valdez and (V) Trinidad"
 C0005WX9  | 2011/09/19 18:33:59 | 5.801 | PubFlagsAddImpact | Deaths Shaking Exact 1 0 "AP from Guatemala City" 1316543522 "Cuilapa"
 C0005WX9  | 2011/09/19 18:33:59 | 5.801 | PubFlagsAddImpact | Injuries Shaking Some 0 0 "AP from Guatemala City" 1316543812 "Cuilapa-Oratorio area"
 C0007NLY  | 2012/01/19 12:35:52 | 5.105 | PubFlagsAddImpact | Injuries Unknown AtLeast 200 0 "" 1327037928 ""
 B0008I6M  | 2012/03/16 07:58:05 |   5.6 | PubFlagsAddImpact | Damaged Shaking Some 0 0 "http://www.cbsnews.com/8301-501712_162-57398630/5.9-magnitude-quake-sparks-stampede-in-philippines/" 1335529459 "Surigao City"
 B0008I6M  | 2012/03/16 07:58:05 |   5.6 | PubFlagsAddImpact | Injuries Shaking AtLeast 55 0 "http://www.mb.com.ph/articles/354526/55-persons-injured-gov-t-buildings-damaged-in-dinagat-surigao-earthquake" 1332159762 "Surigao, Mindanao"
 B0008I6M  | 2012/03/16 07:58:05 |   5.6 | PubFlagsAddImpact | Destroyed Shaking Estimate 4 0 "http://www.mb.com.ph/articles/354526/55-persons-injured-gov-t-buildings-damaged-in-dinagat-surigao-earthquake" 1335529719 "Basilisa, Dinagat Island"
 B0008I6M  | 2012/03/16 07:58:05 |   5.6 | PubFlagsAddImpact | Damaged Shaking Some 0 0 "http://www.cbsnews.com/8301-501712_162-57398630/5.9-magnitude-quake-sparks-stampede-in-philippines/" 1332159858 "Surigao City"
 B0008I6M  | 2012/03/16 07:58:05 |   5.6 | PubFlagsDelImpact | Damaged Shaking Some 0 0 "http://www.cbsnews.com/8301-501712_162-57398630/5.9-magnitude-quake-sparks-stampede-in-philippines/" 1335529459 "Surigao City"
 B0008I6M  | 2012/03/16 07:58:05 |   5.6 | PubFlagsAddImpact | Destroyed Shaking Estimate 4 0 "http://www.mb.com.ph/articles/354526/55-persons-injured-gov-t-buildings-damaged-in-dinagat-surigao-earthquake" 1332160118 "Basilisa, Dinagat Island"
