#
#This data represents the results of running the PAGER exposure and loss
#algorithms on the output from ShakeMap.
#
#Notes: "Total" in the country column indicates that the results in that row are
#the sum of exposures/losses for all affected countries.
#
#"predicted_fatalities" and "predicted_dollars" are the results of applying loss
#models to the exposure data - note that these values are not guaranteed to
#match the actual losses from the earthquake.
#
id,location,time,latitude,longitude,depth,magnitude,country,pager_version,mmi1,mmi2,mmi3,mmi4,mmi5,mmi6,mmi7,mmi8,mmi9,mmi10,predicted_fatalities,fatality_sigma,predicted_dollars,dollars_sigma
us10008qsb,"62km NE of Port-Olry, Vanuatu",2017-05-09 13:52:10.940,-14.5884,167.3767,169,6.8,Total,1,0,4926,110206,164380,663,0,0,0,0,0,0,2.0,0,2.0
us10008rb6,"95km ENE of Visokoi Island, South Georgia and the South Sandwich Islands",2017-05-10 23:23:36.830,-56.414,-25.7432,15,6.5,Total,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0
us10008w1z,"28km WNW of Kasiguncu, Indonesia",2017-05-29 14:35:21.510,-1.2923,120.4313,12,6.6,Total,1,10,1410522,17338205,4098035,548586,91583,23084,0,0,0,0,2.0,166266,410465.0
us20009jd6,"200km NW of Attu Station, Alaska",2017-06-02 22:24:47.440,54.0312,170.9196,5,6.8,Total,1,0,0,212,0,0,0,0,0,0,0,0,1.0,0,1.0
us20009jd6,"200km NW of Attu Station, Alaska",2017-06-02 22:24:47.440,54.0312,170.9196,5,6.8,Total,2,0,0,672,191,0,0,0,0,0,0,0,1.0,0,1.0
us20009mbt,"2km SSW of San Pablo, Guatemala",2017-06-14 07:29:04.390,14.9091,-92.0092,93,6.9,Total,1,0,5682458,21318979,10320977,7031768,1519540,0,0,0,0,12,34.0,5983824,19633076.0
us20009p1a,"28km SW of Puerto San Jose, Guatemala",2017-06-22 12:31:03.490,13.7174,-90.9718,38.12,6.8,Total,1,11790,10911830,18067873,11853002,3592365,480213,187482,0,0,0,29,95.0,39713871,130302200.0
us1000976a,"2km S of Lim-oo, Philippines",2017-07-06 08:03:57.550,11.1269,124.6286,9,6.5,Total,1,5217209,55463068,31744508,4991158,593327,327618,134823,245947,0,0,15,39.0,56736543,165714300.0
us100098qm,"204km NW of Auckland Island, New Zealand",2017-07-11 07:00:01.190,-49.4837,164.0157,10,6.6,Total,1,0,14,63267,0,0,0,0,0,0,0,0,1.0,0,2.0
us20009x42,"202km ESE of Nikol'skoye, Russia",2017-07-17 23:34:13.740,54.4434,168.857,10,7.7,Total,1,0,0,0,77,598,0,0,0,0,0,0,1.0,145,394.0
us20009ynd,"11km ENE of Kos, Greece",2017-07-20 22:31:11.260,36.9293,27.4139,7,6.6,Total,1,0,1226588,25286217,6585788,431289,148834,19573,0,0,0,0,2.0,7452771,24452727.0
us2000a5x1,"36km WSW of Yongle, China",2017-08-08 13:19:49.540,33.1926,103.8552,9,6.5,Total,1,0,20886912,103486464,14801326,54648,26089,2061,0,0,0,0,1.0,61460537,201653552.0
us2000a98r,North of Ascension Island,2017-08-18 02:59:25.640,-1.112,-13.6605,35,6.6,Total,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0
us2000ahv0,"101km SSW of Tres Picos, Mexico",2017-09-08 04:49:19.180,15.0222,-93.8993,47.39,8.2,Total,1,0,88718,22814495,34945365,27300949,4332524,1218860,494286,12,0,1356,4449.0,5676842676,18625862186.0
us2000ar20,"1km E of Ayutla, Mexico",2017-09-19 18:14:38.090,18.5499,-98.4887,48,7.1,Total,1,0,6574467,23135618,19319856,11283607,14744167,5763889,0,0,0,1816,5194.0,2924580429,8710277062.0
us2000b2vq,"57km E of Buldir Island, Alaska",2017-10-08 22:34:33.490,52.3909,176.7691,119,6.5,Total,1,0,0,0,188,0,0,0,0,0,0,0,1.0,0,2.0
us1000apql,Bouvet Island region,2017-10-10 18:53:27.830,-54.2632,8.6086,9,6.7,Total,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0
us1000aw8q,"144km NNE of Palue, Indonesia",2017-10-24 10:47:47.860,-7.2168,123.0735,553.81,6.7,Total,1,326290,19292700,492834,0,0,0,0,0,0,0,0,2.0,0,2.0
us1000aytk,"131km E of Tadine, New Caledonia",2017-10-31 00:42:08.720,-21.6971,169.1485,24,6.7,Total,1,0,244635,120933,7581,0,0,0,0,0,0,0,2.0,0,2.0
us1000azjt,"101km E of Tadine, New Caledonia",2017-11-01 02:23:57.670,-21.6484,168.8585,22,6.6,Total,1,0,110064,256530,9437,154,0,0,0,0,0,0,2.0,0,2.0
us2000bibm,"93km NE of Hihifo, Tonga",2017-11-04 09:00:19.420,-15.3197,-173.1682,10,6.8,Total,1,0,128,48880,245180,0,0,0,0,0,0,0,2.0,0,2.0
us2000bk15,"67km WSW of Angoram, Papua New Guinea",2017-11-07 21:26:38.480,-4.2433,143.4846,110.57,6.5,Total,1,8072,1463317,3490946,1733657,227750,0,0,0,0,0,0,2.0,0,2.0
