hydra_id,eventid,time,latitude,longitude,depth,magnitude,predicted_deaths,mmi5,mmi6,mmi7,mmi8,mmi9,mmi10
usb000ftgc,usb000ftgc,2013-03-27 02:03:19.820,23.828,121.215,19.0,5.9,0.0,3338987,152641,0,0,0,0
usb000g2y5,usb000g2y5,2013-04-09 11:52:49.920,28.428,51.593,12.0,6.4,0.0,294549,64280,18738,4037,0,0
usb000g7x7,usb000g7x7,2013-04-16 10:44:20.180,28.033,61.996,80.0,7.7,0.0,898058,426542,27629,0,0,0
usb000i4re,usb000i4re,2013-07-02 07:37:02.610,4.645,96.665,13.0,6.1,0.0,321142,80861,26430,17,0,0
usb000jyiv,usb000jyiv,2013-09-24 11:29:47.970,26.951,65.5009,15.0,7.7,0.0,10192628,550456,75454,70640,6109,0
usb000k1gb,usb000k1gb,2013-09-28 07:34:06.450,27.1825,65.5052,12.0,6.8,0.0,488556,86181,27311,9276,0,0
usc000lvhr,usc000lvhr,2014-01-02 03:13:54.570,27.1502,54.4482,8.0,5.2,0.0,7187,13616,0,0,0,0
usc000nzvd,usc000nzvd,2014-04-01 23:46:47.260,-19.6097,-70.7691,25.0,8.2,0.0,239796,281854,501073,6,0,0
usb000qack,usb000qack,2014-05-05 11:08:43.420,19.6557,99.6696,6.0,6.1,0.0,470041,183614,79695,4566,0,0
usb000ry8m,usb000ry8m,2014-07-29 10:46:14.700,17.6818,-95.6533,107.0,6.3,0.0,173186,0,0,0,0,0
usb000s0b3,usb000s0b3,2014-08-05 10:22:33.980,-26.9899,26.7048,5.0,5.4,0.0,341851,339807,37769,0,0,0
usb000s5tp,nc72282711,2014-08-24 10:20:44.070,38.2151667,-122.3123333,11.12,6.02,0.0,370458,144989,52257,81977,461,0
usb000slwn,usb000slwn,2014-10-14 03:51:34.460,12.5262,-88.1225,40.0,7.3,0.0,2987624,1131110,12777,0,0,0
us20002ejl,us20002ejl,2015-05-12 07:05:19.730,27.8087,86.0655,15.0,7.3,0.0,60007582,4424148,603981,66576,0,0
us10002n4w,us10002n4w,2015-07-03 01:07:47.290,37.4593,78.1542,20.0,6.4,0.0,372379,190026,85,0,0,0
us200030kn,us200030kn,2015-07-27 21:41:21.710,-2.6286,138.5277,48.0,7.0,0.0,196520,37967,3,0,0,0
us10002zzn,us10002zzn,2015-08-07 01:25:02.540,-2.1412,28.8973,11.0,5.8,0.0,415254,45903,0,0,0,0
us20003k7a,us20003k7a,2015-09-16 22:54:32.860,-31.5729,-71.6744,22.44,8.3,64.0,7237687,1792689,698483,158252,0,0
us100040ct,us100040ct,2015-11-22 18:16:04.710,36.4344,71.4233,102.0,5.7,0.0,0,0,0,0,0,0
us10004f44,us10004f44,2016-01-16 23:22:29.040,-3.8727,127.2292,4.11,5.6,0.0,972,129,89,0,0,0
